Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
1521;-0,4013;15,3033;0,08306;11,986;12,705;13,152;13,397;13,788;14,061;14,479;15,303;16,195;16,704;17,062;17,612;17,982;18,713;20,064;11,106;12,068;13,03;14,103;15,303;16,652;18,174;19,898;21,622
1522;-0,402;15,3029;0,08307;11,986;12,704;13,151;13,397;13,788;14,061;14,478;15,303;16,195;16,704;17,062;17,612;17,983;18,713;20,065;11,106;12,068;13,029;14,102;15,303;16,652;18,174;19,898;21,623
1523;-0,4027;15,3024;0,08309;11,985;12,703;13,15;13,396;13,787;14,06;14,477;15,302;16,195;16,704;17,062;17,612;17,983;18,713;20,066;11,105;12,067;13,029;14,101;15,302;16,652;18,174;19,9;21,625
1524;-0,4034;15,3019;0,0831;11,985;12,703;13,15;13,396;13,787;14,06;14,477;15,302;16,194;16,704;17,062;17,612;17,983;18,714;20,067;11,105;12,066;13,028;14,101;15,302;16,652;18,174;19,9;21,626
1525;-0,4041;15,3015;0,08311;11,984;12,702;13,149;13,395;13,786;14,059;14,476;15,302;16,194;16,704;17,061;17,612;17,983;18,714;20,068;11,104;12,066;13,028;14,1;15,302;16,651;18,174;19,901;21,627
1526;-0,4049;15,301;0,08312;11,984;12,702;13,149;13,395;13,786;14,059;14,476;15,301;16,194;16,703;17,061;17,612;17,983;18,714;20,068;11,104;12,066;13,027;14,1;15,301;16,651;18,174;19,901;21,628
1527;-0,4056;15,3005;0,08313;11,983;12,701;13,148;13,394;13,785;14,058;14,475;15,301;16,193;16,703;17,061;17,612;17,983;18,714;20,069;11,104;12,065;13,027;14,099;15,3;16,651;18,174;19,902;21,629
1528;-0,4063;15,3001;0,08314;11,983;12,701;13,148;13,394;13,785;14,058;14,475;15,3;16,193;16,703;17,061;17,612;17,983;18,714;20,07;11,103;12,065;13,026;14,099;15,3;16,65;18,175;19,902;21,63
1529;-0,407;15,2996;0,08316;11,982;12,7;13,147;13,393;13,784;14,057;14,474;15,3;16,193;16,703;17,061;17,612;17,983;18,715;20,071;11,102;12,064;13,025;14,098;15,3;16,65;18,175;19,904;21,632
1530;-0,4078;15,2992;0,08317;11,982;12,7;13,147;13,392;13,783;14,056;14,474;15,299;16,193;16,702;17,061;17,612;17,983;18,715;20,072;11,102;12,063;13,025;14,098;15,299;16,65;18,175;19,904;21,634
1531;-0,4085;15,2987;0,08318;11,981;12,699;13,146;13,392;13,783;14,056;14,473;15,299;16,192;16,702;17,06;17,612;17,983;18,715;20,072;11,102;12,063;13,024;14,097;15,299;16,65;18,175;19,905;21,635
1532;-0,4092;15,2982;0,08319;11,981;12,699;13,145;13,391;13,782;14,055;14,473;15,298;16,192;16,702;17,06;17,611;17,983;18,716;20,073;11,101;12,063;13,024;14,097;15,298;16,649;18,175;19,905;21,636
1533;-0,41;15,2978;0,0832;11,98;12,698;13,145;13,391;13,782;14,055;14,472;15,298;16,191;16,702;17,06;17,611;17,983;18,716;20,074;11,101;12,062;13,023;14,096;15,298;16,649;18,175;19,906;21,637
