Days;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999;SD4neg;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;SD4
291;-0,2922;16,6739;0,08877;12,807;13,644;14,166;14,452;14,908;15,227;15,713;16,674;17,712;18,304;18,719;19,357;19,787;20,632;22,193;11,78;12,902;14,024;15,275;16,674;18,243;20,008;22,001;23,994
292;-0,2933;16,6698;0,08876;12,804;13,642;14,163;14,449;14,905;15,223;15,709;16,67;17,708;18,299;18,714;19,352;19,782;20,627;22,188;11,779;12,9;14,021;15,271;16,67;18,238;20,003;21,996;23,988
293;-0,2944;16,6657;0,08874;12,802;13,639;14,16;14,446;14,902;15,22;15,706;16,666;17,703;18,294;18,709;19,347;19,776;20,621;22,182;11,777;12,898;14,018;15,268;16,666;18,234;19,998;21,99;23,982
294;-0,2955;16,6616;0,08873;12,8;13,636;14,157;14,443;14,899;15,216;15,702;16,662;17,699;18,29;18,705;19,342;19,772;20,616;22,177;11,776;12,895;14,015;15,264;16,662;18,229;19,993;21,985;23,976
295;-0,2966;16,6575;0,08872;12,798;13,634;14,154;14,44;14,895;15,213;15,698;16,658;17,694;18,285;18,7;19,337;19,767;20,611;22,172;11,774;12,893;14,012;15,261;16,658;18,225;19,988;21,98;23,971
296;-0,2977;16,6534;0,08871;12,795;13,631;14,151;14,437;14,892;15,209;15,694;16,653;17,69;18,281;18,695;19,333;19,762;20,606;22,167;11,772;12,891;14,009;15,257;16,653;18,22;19,983;21,974;23,966
297;-0,2988;16,6492;0,0887;12,793;13,628;14,148;14,434;14,888;15,206;15,691;16,649;17,685;18,276;18,69;19,328;19,757;20,601;22,161;11,77;12,888;14,006;15,254;16,649;18,215;19,978;21,969;23,96
298;-0,2999;16,6451;0,08869;12,791;13,625;14,145;14,43;14,885;15,202;15,687;16,645;17,681;18,271;18,686;19,323;19,752;20,596;22,156;11,768;12,886;14,003;15,25;16,645;18,211;19,973;21,964;23,955
299;-0,301;16,6409;0,08867;12,789;13,623;14,142;14,427;14,882;15,199;15,683;16,641;17,676;18,266;18,681;19,317;19,746;20,59;22,15;11,767;12,884;14,001;15,247;16,641;18,206;19,968;21,958;23,948
300;-0,3021;16,6367;0,08866;12,786;13,62;14,139;14,424;14,878;15,195;15,679;16,637;17,672;18,262;18,676;19,313;19,741;20,585;22,145;11,765;12,881;13,997;15,243;16,637;18,201;19,963;21,953;23,943
301;-0,3032;16,6326;0,08865;12,784;13,617;14,136;14,421;14,875;15,192;15,676;16,633;17,667;18,257;18,671;19,308;19,736;20,58;22,139;11,763;12,879;13,995;15,239;16,633;18,196;19,958;21,947;23,937
302;-0,3043;16,6284;0,08864;12,782;13,614;14,133;14,418;14,871;15,188;15,672;16,628;17,663;18,252;18,666;19,303;19,731;20,575;22,134;11,762;12,876;13,991;15,236;16,628;18,192;19,952;21,942;23,932
303;-0,3053;16,6242;0,08863;12,779;13,611;14,13;14,414;14,868;15,184;15,668;16,624;17,658;18,248;18,661;19,298;19,726;20,57;22,129;11,76;12,874;13,988;15,232;16,624;18,187;19,947;21,937;23,926
304;-0,3064;16,62;0,08862;12,777;13,609;14,126;14,411;14,864;15,181;15,664;16,62;17,654;18,243;18,657;19,293;19,721;20,565;22,123;11,758;12,872;13,985;15,228;16,62;18,182;19,942;21,931;23,921
305;-0,3075;16,6157;0,0886;12,775;13,606;14,123;14,408;14,861;15,177;15,66;16,616;17,649;18,238;18,651;19,287;19,716;20,559;22,117;11,756;12,869;13,983;15,225;16,616;18,177;19,937;21,925;23,914
306;-0,3086;16,6115;0,08859;12,772;13,603;14,12;14,405;14,858;15,174;15,657;16,612;17,644;18,233;18,647;19,282;19,71;20,554;22,112;11,754;12,867;13,979;15,221;16,612;18,173;19,932;21,92;23,908
307;-0,3096;16,6073;0,08858;12,77;13,6;14,117;14,401;14,854;15,17;15,653;16,607;17,64;18,228;18,642;19,277;19,705;20,548;22,107;11,753;12,864;13,976;15,218;16,607;18,168;19,926;21,915;23,903
308;-0,3107;16,603;0,08857;12,767;13,597;14,114;14,398;14,85;15,166;15,649;16,603;17,635;18,224;18,637;19,272;19,7;20,543;22,101;11,751;12,862;13,973;15,214;16,603;18,163;19,921;21,909;23,897
309;-0,3118;16,5988;0,08856;12,765;13,594;14,111;14,395;14,847;15,163;15,645;16,599;17,63;18,219;18,632;19,267;19,695;20,538;22,096;11,749;12,859;13,97;15,21;16,599;18,158;19,916;21,904;23,892
310;-0,3128;16,5945;0,08855;12,763;13,591;14,108;14,392;14,843;15,159;15,641;16,595;17,626;18,214;18,627;19,262;19,69;20,532;22,09;11,747;12,857;13,967;15,207;16,594;18,154;19,911;21,898;23,886
311;-0,3139;16,5903;0,08854;12,76;13,589;14,105;14,388;14,84;15,155;15,637;16,59;17,621;18,209;18,622;19,257;19,685;20,527;22,085;11,745;12,854;13,964;15,203;16,59;18,149;19,906;21,893;23,88
312;-0,3149;16,586;0,08852;12,758;13,586;14,102;14,385;14,837;15,152;15,633;16,586;17,616;18,204;18,617;19,252;19,679;20,521;22,079;11,743;12,852;13,961;15,199;16,586;18,144;19,9;21,887;23,873
313;-0,316;16,5817;0,08851;12,756;13,583;14,098;14,382;14,833;15,148;15,629;16,582;17,612;18,199;18,612;19,247;19,674;20,516;22,073;11,741;12,85;13,958;15,196;16,582;18,139;19,895;21,881;23,868
